location_street_address,location_specifier,location_postcode,area_living,floor_number
Kaunispääntie 3,H 55,00970,55.00,1
Vihdintie 6,A 2,00350,43.00,1
Ojatie 2,D,01670,81.00,1
Niittykatu 1,A 11,02200,50.50,3
Lounaisväylä 3,B 7,00200,46.50,1
Valssimyllynkatu 6,C 10,00920,72.50,1
Kotkatie 9,C 54,02620,73.50,3
Humalniementie 22,A 3,00840,122.00,1
Tehtaankatu 3,B 13,00140,51.00,3
Pengerkatu 22,C 53,00500,23.00,2
Maratonkuja 1,F 22,01280,79.50,1
Gunillantie 17,A 24,00870,68.00,4
Ulrikankuja 6,A 38,01400,56.50,3
Siltasaarenkatu 26,C 81,00530,28.00,2
Tehtaankatu 9,C 45,00140,77.00,6
Lapinlahdenkatu 8,C 69,00180,53.00,5
Kallioimarteentie 15,A 25,01350,55.00,5
Punakiventie 3,B 69,00980,37.50,7
Humalistonkatu 17,A 6,00250,98.00,2
Alvar Aallon katu 3,B 8,00100,49.00,3
Pastori Jussilaisen tie 6,B 19,00400,48.00,4
Viestitie 14,as. 4,01280,38.00,1
Korvatunturintie 1,F 79,00970,75.00,2
Kaivokselantie 6,A 1,01610,39.00,1
Merikorttitie 4,A 590,00960,50.80,3
Wecksellintie 6,A 14,00150,19.00,3
Hiekkaharjuntie 7,A 1,01300,48.00,1
Tietäjäntie 3,A 20,02130,49.00,2
Kivelänkatu 3,A 11,00260,37.00,3
Pajalahdentie 23,A 9,00200,98.50,3
Pohjoisranta 20b,A 18,00170,98.50,7
Hattelmalantie 5-7,C 63,00710,59.50,5
Salpausseläntie 4-8,F 46,00710,59.50,1
Ruotutie 3,as. 4,02610,130.00,1
Nelikkokuja 12,A 10,02230,52.00,2
Laajasuontie 26,B 11,00320,25.50,1
Teollisuuskatu 24,B 33,00520,77.00,3
Seilimäki 20,I 28,02180,99.50,1
Haapasaarentie 2,C 11,00980,53.50,3
Pakkalanrinne 3,B 20,01510,49.00,2
Tyrskyvuori 11,C 28,02320,33.50,1
Leilankuja 2,A 9,02230,61.50,3
Hirvitie 2,A 8,00800,53.00,2
Välimetsäntie 9,C 18,00620,79.50,1
Hämeentie 21,B 37,00500,30.00,3
Säteritilankatu 2,A 19,01520,80.50,6
Laivanvarustajankatu 8a,A 8,00140,52.00,2
otavatie 8,A 10,00200,82.00,4
Artturi Kanniston tie 7,B 20,00320,65.00,2
Henrikintie 5,C 18,00370,62.00,1
Helmiäispolku 5,A 5,00530,59.50,3
Kaustisenpolku 1,B 27,00420,71.50,3
Hämeentie 1,C 20,00530,81.00,3
Päivärinnankatu 3,B 33,00250,131.00,3
Ketokiventie 2,A 3,00710,100.00,1
Pasuunatie 2b,A 13,00420,61.50,5
Heino Kasken katu 9,C 25,00180,57.50,3
Wecksellintie 8,A 6,00150,114.00,3
Venemestarintie 4,C 14,00980,92.00,2
Merikasarminkatu 7,D 36,00160,61.00,4
Mechelininkatu 3a,B 72,00100,57.00,6
Maauunintie 27,C 28,01450,58.50,2
Paatsamapolku 2,A 15,01360,59.50,5
Angervotie 4,A 12,00320,86.50,4
Professorintie 2,A 15,00330,43.50,5
Korsipolku 3,B 14,01370,80.00,3
Kuunsäde 6,D 84,02210,86.00,7
Kiiskitie 5,B 16,02170,88.50,2
Liuskekuja 4,B 24,00710,76.00,4
Rakovalkeantie 20,as. G,00670,77.00,1
Metsänpojankuja 7,A 23,02130,25.50,5
Komeetankuja 4,C 15,02210,93.00,2
Henrik Borgströmin tie 5,D 28,00840,44.00,1
Mustankivenaukio 5,A 6,00980,57.00,1
Kuusisaarenpolku 1,as. E,00340,212.50,1
Tilkankatu 14,B 23,00300,56.50,2
Pohjolankatu 43,D 27,00610,68.00,2
Laajaniityntie 12,F 74,01620,72.50,1
Jukolanahde 1,B 11,02180,56.00,2
Lotankatu 4,B 26,02680,70.00,1
Merivalkama 1,I 81,02320,82.00,2
Vallikatu 15,A 10,02650,38.50,4
Helsinginkatu 20,A 8,00530,30.00,3
Vesalantie 42,as. 7,00940,71.00,1
Anianpellontie 17,D 59,00700,51.50,4
Kangaspellontie 5,B 21,00350,81.00,4
Kulovalkeankuja 2,B 50,02760,62.50,6
Taivaskero 5,B 23,01280,33.50,2
Kylätie 26,A 10,00320,74.00,4
Vaasankatu 16,A 12,00500,52.00,4
Solnantie 35,A 2,00330,23.00,1
Kotisaarenkatu 6,C 50,00560,63.00,3
Naavakalliontie 2,C 51,02120,24.50,2
Punnuspolku 8,B 10,00440,96.50,1
Rahapajankatu 1,E 28,00160,19.00,4
Annankatu 5,C 14,00120,74.00,2
Jousenpuistonkatu 1,A 8,02200,41.50,2
Kuoppatie 4a,A 9,00730,63.00,2
Melkonkatu 9,A 12,00210,63.50,3
Kaivosvoudintie 4,Y 200,01610,39.50,1
Livornonkatu 3,A 33,00220,29.00,3
Keinulaudankuja 2a,A 74,00940,28.00,6
Huhtakivenkuja 5,C 5,00970,123.00,1
Hiekkaharjuntie 16,C 26,01300,53.50,3
Mannerheimintie 94,B 60,00250,48.10,5
Vanha Turun maantie 3,B 16,00320,25.50,1
Kivalterintie 23,H 124,00640,50.00,3
Tulisuontie 20,A 9,00930,45.00,3
Suvantopolku 5,G 83,01600,28.00,2
Vellamonkatu 6-8,A 7,00550,65.00,4
Lumikintie 4,A 122,00820,55.00,1
Hämeentie 38,A 17,00500,49.00,4
Runoratsunkatu 1,A 34,02600,63.00,6
Kirstinkatu 15,A 10,00510,41.50,3
Renginpolku 8,B 15,00410,60.50,2
Sepänkatu 1,A 1,00150,89.00,1
Kuparitie 14,F 77,00440,63.50,1
Tattariharjuntie 18,A 2,00700,66.50,1
Norotie 6,C 27,01600,71.00,3
Merikasarminkatu 12,D 37,00160,54.00,2
Kelohongantie 9,A 39,02120,45.50,5
Kilonkuja 2,A A16,02610,65.00,2
Luotsikatu 2,C 30,00160,77.00,1
Ruusuvuorenkuja 2b,A 18,01450,71.50,4
Johan Sederholmin tie 2,F 58,00810,39.00,1
Ullanlinnankatu 3,As 80,00130,26.00,1
Neilikkatie 5,C 45,01300,89.50,3
Mimerkinkuja 4,C 41,02100,89.50,4
Saariniemenkatu 8,F 80,00530,72.00,3
Käpylänkuja 3,B 13,00610,68.00,2
Ojahaanpolku 6,C 29,01600,73.50,2
Runoratsunkatu 5,A 73,02600,41.00,10
Sateentie 6,B 121,02100,29.00,10
Uuskartanontie 18,B 3,02210,109.00,1
Murattitie 2,C 16,00720,48.50,1
Katajaharjuntie 11,A 6,00200,30.00,2
Unikkotie 3,C 28,00720,112.00,4
Jönsaksenpolku 8,A 12,01600,60.50,2
Lauttasaarentie 54,D 95,00200,110.00,5
Palkkatilankatu 5,A 10,00240,61.50,5
Iso Roobertinkatu 41,A 26,00120,82.50,5
Ulvilantie 19 b,A 2,00350,31.00,1
Iiluodontie 7,B 78,00990,58.00,7
Föglönkuja 4,C 55,00590,38.00,3
Pohjoinen Rastitie 2,A 12,01360,60.00,2
Vetelintie 5,F 89,00420,32.50,2
Pitsinvirkkaajankatu 3,as. 9,00770,48.00,1
Piispanpelto 3,B 32,02200,81.50,2
Sahatie 12,B 40,01650,78.00,7
Eläinlääkärinkatu 7,A 16,00580,72.50,5
Metsäpirtintie 12,D 18,02130,91.50,2
Tilkankatu 7,C 38,00300,44.00,1
Valpurintie 3,A 7,00270,52.50,2
Messeniuksenkatu 6,A 26,00250,24.00,5
Lohkopellontie 1,B,00650,100.50,1
Myyräkuja 3,A 4,01450,93.50,2
Soukankaari 13,F 64,02360,29.00,2
Itämerenkatu 8,A 19,00180,72.50,6
Vaniljakuja 3,B 37,00990,47.00,4
Vanhaistentie 14,C 101,00420,96.70,1
Puotilantie 8,A 101,00910,83.00,3
Särkiniementie 18,A 3,00210,114.00,1
Annankalliontie 2b,C,01380,64.00,1
Vaasankatu 15,C 68,00500,57.50,3
Koetilankatu 5,C 13,01520,98.00,2
Laivapojankatu 3,B 30,00180,49.00,4
Kiviaidankatu 7,A 17,00210,59.00,3
Punahilkantie 14,K 92,00820,86.00,3
Soidintie 12,A 4,00700,109.00,3
Klaneettitie 12,B 18,00420,75.00,1
Kauppiaankatu 8-10,E 35,00160,67.50,1
Pitkänsillanranta 11,A 25,00530,47.50,3
Roihuvuorentie 18,A 28,00820,52.50,3
Käärtipolku 8,A 16,00390,43.50,3
Vanhan-Mankkaan tie 16,A 2,02180,73.00,1
Cygnaeuksenkatu 8,D 33,00100,86.50,2
Riistavuorenkuja 3,A 4,00320,93.50,2
Vuorenpeikontie 5,A 12,00820,61.00,2
Merisotilaankatu 1,D 31,00160,63.00,3
Matinkatu 8,C 25,02230,56.00,3
Lasimäki 2,B 27,02780,54.50,3
Porintie 5,A 11,00350,56.50,3
Risto Rytin tie 24,A 13,00570,74.00,3
Viipurinkatu 12,C 32,00510,30.00,2
Linnustajankuja 3,B 7,02940,50.50,1
Caloniuksenkatu 5,B 60,00100,45.00,5
Arabiankatu 8,A 31,00560,33.50,7
Aittatie 16,B 27,00390,68.00,3
Kiviportintie 6,A 5,00950,77.00,2
Munkkiniemen puistotie 12,A 13,00330,145.00,4
Hiihtomäentie 42,B 31,00800,65.00,2
Nukkeruusunkuja 3,B 30,00990,58.00,3
Pohjoiskaari 43,A 7,00200,52.00,3
Antaksentie 13,A 23,01510,62.50,4
Kalliolähteentie 5,E 75,02210,47.00,2
Mätästie 5,A 92,00770,50.50,4
Luhdinsola 10,D 46,01660,76.50,1
Albertinkatu 22-24,A 8,00120,123.00,3
Pronssikuja 2,C 44,01610,39.00,1
Kärrynpyöräntie 4,C 5,02940,95.00,1
Tuohimäentie 94,A 96,00670,96.00,1
Kalliolanrinne 8,A 6,00510,53.00,1
ANIANPELLONTIE 15,A 25,00700,79.00,1
Mäenlaskijantie 2,E 54,00810,52.00,2
Voudintie 4,C 39,00600,71.00,1
Ullanlinnankatu 3,M 69,00130,49.00,2
Vänrikki Stoolin katu 12a,A 16,00100,56.20,3
Majavatie 7b,as. 2,01450,69.00,1
Ripetie 6,as. 4,00730,125.00,1
Runeberginkatu 50,B 47,00260,48.50,6
Haahkatie 16,B 18,00200,26.50,2
Runeberginkatu 6b,B 37,00100,90.50,5
Naavakalliontie 1,F 48,02120,54.40,2
Liisankatu 9,F 66,00170,42.00,6
Pääskyläntie 2,as. A,01230,96.50,1
Savikuja 3,C 10,02770,76.50,1
Lähettilääntie 14,C 2,01520,74.50,1
Harjutori 8,A 21,00500,47.00,4
Salonkitie 10,K 24,02940,91.00,1
Lautamiehentie 9,B 60,01510,69.00,5
Raappavuorenkuja 6,B 18,01620,74.50,2
Rantatöyry 1,A 3,00570,95.00,1
Nervanderinkatu 12,A 8,00100,122.80,2
Hansakallio 3,B 6,02780,30.00,1
Merimiehenkatu 35,A 8,00150,20.90,2
Keinulaudantie 7a,A 6,00940,30.50,2
Laivanvarustajankatu 8b,B 24,00140,30.00,3
Harjutorinkatu 1,B 37,00500,39.00,1
Rautiontie 3,H 32,00640,60.00,2
mäkelänkatu 25,E 40,00550,30.00,2
Välimerenkatu 14,D 155,00220,101.00,4
Unioninkatu 45,B 26,00170,145.00,2
Tuulimyllyntie 8,A 16,00920,50.50,4
Heikunankuja 2,C 9,02680,90.00,1
Kanttiinitie 1,as. E,02680,96.00,1
Antreantie 12,A 5,02140,93.00,1
Rialtonkuja 6,B 16,00580,54.50,1
Itälahdenkatu 8,A 14,00210,35.50,5
Kolsarinkuja 3,D 38,00390,62.00,1
Kolsarinkuja 4,D 30,00390,50.00,1
Tikkurilantori 1,B 20,01300,69.00,3
Poutamäentie 13,C 88,00360,27.00,2
Sturenkatu 33,A 7,00550,26.00,2
Junonkatu 8,B 19,00540,44.50,1
Maksaruohonpolku 3,C 15,00930,95.50,1
Tehtaankatu 38,A 2,00150,31.00,2
Asiakkaankatu 1,B 41,00930,45.50,6
Minervankatu 2,A 22,00100,23.80,5
Hakaniemenranta 26,A 103,00530,53.00,12
Puistokaari 14,A 1,00200,74.00,1
Jussaarenkuja 5,H 86,00840,51.50,2
Mäkelänrinne 3,D 28,00550,79.00,1
Esikkotie 1,B 31,01300,34.50,2
Kauppaneuvoksentie 14,A 11,00200,33.80,4
Pariisinkatu 8,C 55,00560,124.00,8
Nuppukuja 4,B 24,00790,40.50,3
Ounasvaarantie 5,A 15,00970,54.00,5
Näyttelijäntie 20,F 61,00400,48.00,1
Porslahdentie 18,D 12,00980,99.50,1
Sörnäistenkatu 15,D 49,00580,45.00,2
Tasankotie 6,B 35,00730,39.00,4
Limonadikuja 8,A 14,00390,45.50,3
Haikaranportti 6,C 40,02620,75.00,3
Lauttasaarentie 13,A 3,00200,24.00,2
Alakartanontie 2,A 5,02360,110.00,2
Alamäki 2,G 26,02760,95.50,1
Virpikuja 3,A 9,01360,60.50,4
Potinkuja 2,H 28,01670,96.00,1
Kalkkihiekantie 2,C 45,00980,89.50,5
Selkämerenkatu 10,A 14,00180,73.00,5
Agricolankatu 11,A 5,00530,75.00,3
Vuorimiehenkatu 7,E 35,00140,115.50,4
Leankatu 4,A 9,00240,51.50,3
Adolf Lindforsin tie 7,B 76,00400,24.50,8
Isokaari 36,as. 3,00200,125.00,1
Kokkokalliontie 9,J 204,00370,34.50,2
Kerttulinkuja 3,A 89,00810,46.50,4
Hiekkajaalanranta 5,C 50,00980,59.50,5
Hiirakkotie 10,B 10,01200,97.00,1
Uotinmäentie 9,J 70,00970,55.00,1
Koirasaarentie 21,A 17,00590,88.00,5
Väinölänkatu 17,D 32,00610,31.00,1
Meripuistotie 1,C 17,00200,26.00,3
Viides linja 14,B 63,00530,100.00,7
Keinutie 4,E 97,00940,76.00,1
Mataratie 10,A 1,01350,99.50,1
Meripuistotie 1,A 5,00200,71.00,2
Johan Bockin kuja 6,C 21,00720,77.00,1
Ulvilantie 17a,I 147,00350,23.80,4
Lauhatie 9,B 13,01300,85.50,1
Arabiankatu 5,C 4,00560,76.00,1
Englantilaisaukio 10,A 40,00580,52.00,10
Vehkalahdentie 38,A 1,00950,43.00,2
Rapakivenkuja 5,V 153,00710,55.50,1
Pellavakaskenmäki 9,E 8,02340,79.50,1
Kivimäentie 19,I,01620,60.50,1
Väinö Tannerin tie 17,B 31,01510,49.50,4
Koillisväylä 9b,A 14,00200,30.00,2
Helsinginkatu 8,B 68,00500,26.00,5
Etuniementie 3,C 1,02230,38.00,1
Kastanjakuja 6,A 18,01710,23.00,4
Kiviparintie 9,F 84,00920,69.00,5
Urheilukatu 42,A 8,00250,46.50,2
Toinen linja 11,A 28,00530,38.00,5
Unikkotie 14,A 6,01300,31.00,1
Ulvilantie 20,D 54,00350,42.00,4
Kanavakatu 7,C 42,00160,95.50,3
Rakovalkeantie 21,F,00670,116.00,1
Kaivomestarinkatu 6,C 39,02770,58.50,4
Kasöörinkatu 2,D 64,00520,68.00,2
Hietalahdenkatu 16,E 1,00180,57.10,2
Mäntypaadentie 26,as. 2,00830,78.00,1
Klaavuntie 12,G 59,00910,32.00,2
Tulisuonkuja 1,I 49,00930,133.00,1
Kustaankatu 5,B 60,00500,42.00,7
Iso-Kaari 13a,A 6,00200,75.00,2
Humalistonkatu 3,A 16,00250,22.00,4
Laurinniityntie 3,C 32,00440,50.00,2
Ulvilantie 2,A 1,00350,50.30,1
Kokkokalliontie 1,AB 103,00370,38.00,1
Rummunlyöjänkatu 11,C 50,02600,78.50,5
Damaskuksentie 4,A 57,00560,104.00,1
Siilikuja 2,B 57,00800,44.50,5
Puistokaari 19,B 17,00200,27.00,2
Kala-Matti 4,A 6,02230,78.50,2
Nukenkaulus 2,B 32,01300,52.00,5
Myllymatkantie 2,D 133,00920,74.50,6
Kuikkarinne 7,B 27,00200,24.00,2
Amiraalin puistotie 12,A 13,02320,75.00,5
Vänrikki Stoolin katu 12a,A 22,00100,56.20,4
Munkkisaarenkatu 6,B 16,00150,25.00,2
Kaivokselantie 5g,A 5,01610,45.00,1
Lehdokkipolku 4,C 19,00930,74.50,1
Hakaniemenranta 16,B 32,00530,70.00,8
Inarintie 20,B 12,00550,62.00,2
Valssimyllynkatu 13,C 1,00920,81.50,1
Nauriskaski 13,C 6,02340,80.00,1
Karavaanikatu 2,F 72,00980,33.50,5
Spinellikuja 9,A 28,01700,57.50,3
Mannerheimintie 57-59,A 21,00250,22.00,6
Disankatu 4,B 30,00590,90.50,3
Vanha Nurmijärventie 24,A 1,01670,58.50,1
Pohjoinen Hesperiankatu 21,A 21,00260,27.00,5
Suotorpantie 15,J 30,02130,71.00,1
Kaarikuja 4,G 152,00940,47.00,3
Harakankuja 6,E 41,02650,43.00,2
Ounasvaarantie 1,E 110,00970,33.50,2
Pääskylänrinne 10,A 6,00500,52.90,4
Pitkäniityntie 5,B 6,02810,89.00,1
Tehtaankatu 5,B 15,00140,120.00,6
Pyrstökuja 2,B 4,02320,89.50,1
Maurinkatu 4,C 28,00170,70.50,5
Hiirakkotie 8,C 24,01200,94.50,3
Klovinmäki 5,C 2,02180,92.00,1
Kaivokselantie 5,M 27,01610,57.00,3
Soukanlahdentie 3,A 3,02360,157.00,1
Hiekkaharjuntie 13,A 5,01300,52.00,2
Hämeentie 94,A 31,00550,34.00,6
Siilitie 8a,B 76,00800,79.00,6
Pohjoinen Rautatiekatu 17,C 23,00100,63.00,4
Raiviosuonrinne 2,D 62,01620,89.50,4
Ostostie 2,E 116,00940,69.00,3
Ritarikatu 3b,C 17,00170,192.50,4
Wallininkuja 3,A 20,00530,41.50,4
Svinhufvudintie 7,B 28,00570,44.00,2
Luuvaniementie 8,A 5,00350,72.00,2
Kurkimäentie 4,D 31,00940,90.00,2
Rantakartanontie 13,C 27,00910,46.50,3
Sahanmäenkuja 4,B 36,00520,96.00,4
Rauduntie 1,B 4,02330,143.50,1
Karavaanikatu 2,F 59,00980,47.00,3
Munkkisaarenkatu 12,B 38,00150,19.00,3
Laajaniityntie 1a,B 53,01620,76.00,4
Kaskenkaatajantie 9,as. 8,02100,87.00,1
Westendintie 93,E 29,02160,82.00,3
Puolikkotie 1,A 34,02230,87.00,5
Naapurintie 2,F 99,00940,31.50,5
Käsityöläisentie 17,C 16,00750,60.50,1
Steniuksentie 26,A 6,00320,30.00,2
Iivisniemenaukio 2,F 88,02260,74.00,2
Kalkkihiekantie 2,D 61,00980,43.50,5
Katajaharjuntie 21,B 17,00200,31.00,2
Esikoisentie 7,B 50,00430,88.00,1
Lumikintie 4,A 189,00820,50.50,3
Munkkisaarenkatu 4,A 7,00150,44.00,1
Kirjatyöntekijänkatu 8,A 6,00170,37.50,2
Sunantie 21,B 6,02760,80.00,1
Hallavantorpantie 11,D 12,02820,89.00,1
Karavaanikatu 2,I 182,00980,43.00,5
Lapinrinne 2,B 26,00180,42.50,7
Kuparitie 14,F 88,00440,95.00,3
Pohjantie 2,B 36,02100,42.00,1
Köydenpunojankatu 8,J 204,00180,26.00,3
Perustie 11,B 24,00330,61.00,2
Patotie 6,C 33,01600,31.50,2
Ida Ekmanin tie 1,O 127,00400,51.50,3
Vallikuja 3,A 1,02650,79.50,1
Messeniuksenkatu 5,B 46,00250,47.50,4
Tiirasaarentie 12,as. 8,00200,130.00,1
Hirsalantie 6,C 9,02600,71.50,1
Luoteisväylä 24,A 6,00200,88.00,2
Viipurinkatu 9,A 2,00510,25.00,1
Nelikkokuja 3,A 16,02230,56.00,4
Koillisväylä 8,B 26,00200,28.00,3
Kuohurinne 1,D 57,01600,111.00,2
Naapurintie 2,D 65,00940,77.50,5
Mannerheimintie 63,A 22,00250,20.50,6
Halsuantie 3,B 36,00420,74.00,6
Merenneidontie 23,A 3,02320,88.00,1
Jakomäenkuja 1,H 78,00770,74.50,3
Erkki Melartinin tie 7,B 15,00720,30.50,2
Neulapadontie 8,E 43,00920,77.00,3
Ristipellontie 6,D 86,00390,74.00,3
Ulvilantie 23,D 48,00350,23.00,2
Puistokaari 14,A 12,00200,74.00,3
Klaavuntie 9,H 67,00910,76.00,3
Meritullinkatu 31,B 21,00170,84.50,3
Aleksis kiven katu 48,B 50,00510,29.50,7
Liisankatu 3,C 36,00170,88.00,4
Leipurinkuja 1,B 15,02650,54.00,2
Kolmas linja 21,A 4,00530,27.00,2
Kallioimarteentie 15,C 69,01350,68.00,2
Oksasenkatu 1b,B 31,00100,38.00,1
Liuskekuja 4,D 43,00710,73.50,3
Erik Spåren tie 5,as. 3,00790,108.00,1
Kapteeninkatu 2,A 13,00140,46.50,4
Arkadiankatu 33,A 19,00100,48.00,4
Melkonkatu 7,B 61,00210,31.00,5
Ylä-Fallin tie 1,H 37,00690,70.50,1
Matinkallio 7,D 136,02230,46.50,1
Valpurintie 6,A 12,00270,21.00,2
Ulvilantie 29,A 111,00350,43.50,2
Liljatie 5,C,01300,65.50,1
Telakkakatu 2,D 85,00150,27.00,7
Paimenhuilunpolku 3,B 19,00420,26.50,2
Kauniinilmankuja 5,B 25,00990,107.50,2
Kutomotie 14,A 54,00380,34.50,4
Porvarinkuja 1,I 32,00750,79.00,1
Vahtirinne 20,A 13,00370,35.00,2
Ruusulankatu 17,A 5,00250,125.00,2
Biologinkatu 3,B 38,00790,77.00,5
Hakamäki 2,B 13,02120,83.00,1
Kielotie 52,C 14,01300,33.00,4
Pääskylänkatu 5,A 23,00500,22.00,6
Suolakivenkatu 4,C 48,00810,80.50,5
Piispankallionpää 2,A 21,02200,71.50,3
Vanhaistentie 7,C 30,00420,40.50,1
Leenankuja 2,G 70,02230,59.50,6
Kalliolanrinne 6,B 41,00510,46.00,4
Veräjäkallionkatu 4,C 4,02650,133.00,1
Ruorimiehenkatu 6,A 18,02320,79.50,3
Linnanväenpolku 4,H 15,00950,77.00,1
Radiokatu 13,B 50,00240,33.00,5
Yläkaupinkuja 1,B 10,02360,94.00,2
Peltovuorentie 33,C,01690,74.00,1
Kaustisenpolku 1,D 61,00420,71.50,3
Väinämöisenkatu 1,A 15,00100,125.00,3
Kaivokselantie 6,A 20,01610,68.00,5
Kilonportti 3,A 18,02610,46.50,4
Puistokatu 3b,A 14,00140,169.50,7
Niittytaival 5,A 3,02200,33.50,3
Perustie 18,A 19,00330,26.00,5
Tilanhoitajankaari 17,A 7,00790,52.00,2
Kulmakatu 1,C 15,00170,123.00,4
Lapinlahdenkatu 8,A 25,00180,49.50,7
Pihlajatie 3,A 6,00270,23.10,2
Fallpakankuja 15,A 1,00970,112.00,1
Kivalterintie 20,B 18,00620,63.00,1
Hippiäisentie 2,B 4,02660,81.50,1
Johan Bockin kuja 10,B 13,00720,44.00,2
Johan Sederholmin tie 8,A 1,00810,78.50,1
Puistopiha 2,C 52,02610,52.00,4
Vattuniemenkatu 18,B 27,00210,72.00,4
Adolf Lindforsin tie 7,B 43,00400,66.00,1
Koskelantie 29,C 27,00610,66.00,1
Matinniitynkuja 8,A 28,02230,30.00,5
Kanneltie 2,B 19,00420,43.00,1
Sepelkyyhkyntie 2,A 21,02660,69.50,4
Töölöntorinkatu 6,B 43,00260,44.00,5
Sinebrychoffinkatu 13,A 6,00120,124.00,4
Välimerenkatu 10,B 54,00220,52.00,5
Pursimiehenkatu 7,A 1,00150,60.50,1
Raitamaantie 8,F 37,00420,92.00,1
Halkosuontie 65,D 8,00660,194.00,1
Svinhufvudintie 4,C 29,00570,55.00,2
Krattikuja 3,as. 6,02320,92.00,1
Puolikkotie 6,D 122,02230,56.00,5
Vanha Ingaksentie 7,C,02940,129.00,1
Tulisuontie 1,A 5,00820,67.50,2
Eestintaival 14,C 14,02280,94.00,1
Museokatu 34,A 8,00100,82.50,4
Paciuksenkatu 4,C 44,00290,46.00,1
Auringonkatu 6,as. 17,02210,96.00,1
Sörnäistenkatu 15,D 48,00580,57.50,2
Hopeakaivoksentie 36,A 20,00590,65.00,3
Takalantie 19,E 10,00730,90.00,1
Viides linja 6,A 7,00530,65.50,3
Puolikkotie 6,D 140,02230,49.00,7
Kivisaarentie 10,A 1,00960,53.50,1
Iso Roobertinkatu 1,A 6,00120,46.00,2
